name,label,period,description,analysis_unit,dataset_name,study,questionnaire
W35,GIP Wave 35,2018/05,,p,GIP_W35_V1,gip,W35
W36,GIP Wave 36,2018/07,,p,GIP_W36_V1,gip,W36
W37,GIP Wave 37,2018/09,,p,GIP_W37_V2,gip,W37
W38,GIP Wave 38,2018/11,,p,GIP_W38_V1,gip,W38
W39,GIP Wave 39,2019/01,,p,GIP_W39_V2,gip,W39
W40,GIP Wave 40,2019/03,,p,GIP_W40_V1,gip,W40
W41,GIP Wave 41,2019/05,,p,GIP_W41_V1,gip,W41
W42,GIP Wave 42,2019/07,,p,GIP_W42_V1,gip,W42
W43,GIP Wave 43,2019/09,,p,GIP_W43_V1,gip,W43
W44,GIP Wave 44,2019/11,,p,GIP_W44_V2,gip,W44
W45,GIP Wave 45,2020/01,,p,GIP_W45_V1,gip,W45
W46,GIP Wave 46,2020/03,,p,GIP_W46_V1,gip,W46
