name,label,period,description,analysis_unit,dataset_name,study,questionnaire
W1,GIP Wave 01,2012/09,,p,GIP_W1_V5,gip,W1
W2,GIP Wave 2,2012/11,,p,GIP_W2_V6,gip,W2
W3,GIP Wave 3,2013/01,,p,GIP_W3_V6,gip,W3
W4,GIP Wave 4,2013/03,,p,GIP_W4_V4,gip,W4
W5,GIP Wave 5,2013/05,,p,GIP_W5_V5,gip,W5
W6,GIP Wave 6,2013/07,,p,GIP_W6_V5,gip,W6
W7,GIP Wave 7,2013/09,,p,GIP_W7_V4,gip,W7
W8,GIP Wave 8,2013/11,,p,GIP_W8_V5,gip,W8
W9,GIP Wave 9,2014/01,,p,GIP_W9_V3,gip,W9
W10,GIP Wave 10,2014/03,,p,GIP_W10_V5,gip,W10
W11,GIP Wave 11,2014/05,,p,GIP_W11_V4,gip,W11
W12,GIP Wave 12,2014/07,,p,GIP_W12_V4,gip,W12
W13,GIP Wave 13,2014/09 - 2015/03,,p,GIP_W13_V3,gip,W13
W14,GIP Wave 14,2015/02,,p,GIP_W14_V3,gip,W14
W15,GIP Wave 15,2015/01,,p,GIP_W15_V4,gip,W15
W16,GIP Wave 16,2015/03,,p,GIP_W16_V2,gip,W16
W17,GIP Wave 17,2015/05,,p,GIP_W17_V2,gip,W17
W18,GIP Wave 18,2015/07,,p,GIP_W18_V2,gip,W18
W19,GIP Wave 19,2015/09,,p,GIP_W19_V2,gip,W19
W20,GIP Wave 20,2015/11,,p,GIP_W20_V2,gip,W20
W21,GIP Wave 21,2016/01,,p,GIP_W21_V2,gip,W21
W22,GIP Wave 22,2016/03,,p,GIP_W22_V2,gip,W22
W23,GIP Wave 23,2016/05,,p,GIP_W23_V2,gip,W23
W24,GIP Wave 24,2016/07,,p,GIP_W24_V2,gip,W24
W25,GIP Wave 25,2016/09,,p,GIP_W25_V1,gip,W25
W26,GIP Wave 26,2016/11,,p,GIP_W26_V1,gip,W26
W27,GIP Wave 27,2017/01,,p,GIP_W27_V1,gip,W27
W28,GIP Wave 28,2017/03,,p,GIP_W28_V1,gip,W28
W29,GIP Wave 29,2017/05,,p,GIP_W29_V2,gip,W29
W30,GIP Wave 30,2017/07,,p,GIP_W30_V3,gip,W30
W31,GIP Wave 31,2017/09,,p,GIP_W31_V1,gip,W31
W32,GIP Wave 32,2017/11,,p,GIP_W32_V1,gip,W32
W33,GIP Wave 33,2018/01,,p,GIP_W33_V2,gip,W33
W34,GIP Wave 34,2018/03,,p,GIP_W34_V1,gip,W34
W35,GIP Wave 35,2018/05,,p,GIP_W35_V1,gip,W35
W36,GIP Wave 36,2018/07,,p,GIP_W36_V1,gip,W36
W37,GIP Wave 37,2018/09,,p,GIP_W37_V2,gip,W37
W38,GIP Wave 38,2018/11,,p,GIP_W38_V1,gip,W38
W39,GIP Wave 39,2019/01,,p,GIP_W39_V2,gip,W39
W40,GIP Wave 40,2019/03,,p,GIP_W40_V1,gip,W40
W41,GIP Wave 41,2019/05,,p,GIP_W41_V1,gip,W41
W42,GIP Wave 42,2019/07,,p,GIP_W42_V1,gip,W42
W43,GIP Wave 43,2019/09,,p,GIP_W43_V4,gip,W43
W44,GIP Wave 44,2019/11,,p,GIP_W44_V2,gip,W44
W45,GIP Wave 45,2020/01,,p,GIP_W45_V1,gip,W45
W46,GIP Wave 46,2020/03,,p,GIP_W46_V1,gip,W46
W47,GIP Wave 47,2020/05,,p,GIP_W47_V1,gip,W47
W48,GIP Wave 48,2020/07,,p,GIP_W48_V1,gip,W48
W49,GIP Wave 49,2020/09,,p,GIP_W49_V1,gip,W49
W50,GIP Wave 50,2020/11,,p,GIP_W50_V1,gip,W50
W51,GIP Wave 51,2021/01,,p,GIP_W51_V2,gip,W51
W52,GIP Wave 52,2021/03,,p,GIP_W52_V1,gip,W52
W53,GIP Wave 53,2021/05,,p,GIP_W53_V1,gip,W53
W54,GIP Wave 54,2021/07,,p,GIP_W54_V1,gip,W54
W55,GIP Wave 55,2021/09,,p,GIP_W55_V1,gip,W55
