study,instrument,name,item,text,text_de,answer_list,instruction,instruction_de,description,description_de,filter,goto,concept,scale
gip,Recruitment-18-I,Page 1 Intro,0,"Herzlich willkommen bei „Gesellschaft im Wandel”
Vielen Dank für Ihre Unterstützung!
Ihr Forschungsteam der Universität Mannheim
Haben Sie Fragen oder Anregungen?
Internet:  www.uni-mannheim.de/giw
E-Mail:	info@gesellschaft-im-wandel.de
Telefon: 0800-5892604 (Montag bis Samstag 8:00 bis 20:00 Uhr sowie Sonntag 10:00 bis 18:00 Uhr, kostenlos aus dem deutschen Fest- und Mobilfunknetz)",,,,,,,,,,txt
gip,Recruitment-18-I,Page 2,0,"Unsere Gesellschaft befindet sich in einem ständigen Wandel. Ein wichtiger Aspekt des gesellschaftlichen Wandels ist der technische Wandel. Neue Technologien wie Internet und Smartphones prägen immer mehr unser Leben. Wir möchten Ihnen heute einige Fragen dazu stellen, wie sich diese neuen Technologien auf Ihr Leben auswirken.

Wie wichtig ist es Ihnen, dass Ihre technischen Geräte zu Hause, wie zum Beispiel Mobiltelefon, Fernseher oder Computer, auf dem neuesten Stand der Technik sind?",,1-4-wichtig,,,,,,,,cat
gip,Recruitment-18-I,Page 3,0,"Wie oft nutzen Sie das Internet für private Zwecke, egal ob zu Hause, am Arbeitsplatz oder unterwegs?",,1-9-haeufig,Bei dieser Frage können Sie nur eine Antwort geben.,,Bei dieser Frage können Sie nur eine Antwort geben.,,,,,cat
gip,Recruitment-18-I,Page 4,0,Für welche der folgenden Aktivitäten haben Sie das Internet in den letzten drei Monaten genutzt?,,,Bitte geben Sie alles Zutreffende an.,,Bitte geben Sie alles Zutreffende an.,,"RQD3001 = 3, 4, 5, 6, 7, 8, 9, -90 (wenn Befragte/-r das Internet zumindest gelegentlich nutzt oder keine Angabe gemacht hat)",,,txt
gip,Recruitment-18-I,Page 4,1,Musik oder Filme herunterladen oder anhören/ansehen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,2,Spielen (zum Beispiel Onlinespiele),,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,3,Videos oder andere kreative Inhalte selbst erstellen oder hochladen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,4,Etwas online nachschlagen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,5,Nachrichten online lesen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,6,Blogs oder Twitter-Nachrichten lesen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,7,"Einen Blog, Twitter-Account oder eine Website selbst betreuen",,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,8,E-Mails lesen oder schreiben,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,9,"Berufliche oder soziale Netzwerke nutzen (zum Beispiel XING, Facebook)",,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,10,Produkte oder Preise vergleichen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,11,Produkte kaufen oder verkaufen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,12,Onlinebanking,,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,13,"Sonstige, und zwar (bitte eintragen): [answer field]",,,,,,,,,,bin
gip,Recruitment-18-I,Page 4,14,Ich habe das Internet in den letzten drei Monaten nicht genutzt.,,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,0,Mit welchem Gerät oder welchen Geräten haben Sie das Internet in den letzten drei Monaten genutzt?,,,Bitte geben Sie alles Zutreffende an.,,Bitte geben Sie alles Zutreffende an.,,"RQD3001 = 3, 4, 5, 6, 7, 8, 9, -90 (wenn Befragte/-r das Internet zumindest gelegentlich nutzt oder keine Angabe gemacht hat)",,,txt
gip,Recruitment-18-I,Page 5,1,Stationärer Computer/Schreibtisch-PC,,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,2,Notebook/Laptop,,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,3,Tablet,,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,4,Smartphone,,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,5,"Anderes, und zwar (bitte eintragen): [answer field]",,,,,,,,,,bin
gip,Recruitment-18-I,Page 5,6,Ich habe das Internet in den letzten drei Monaten nicht genutzt.,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,0,"Politische Entscheidungen werden durch gesellschaftlichen Wandel beeinflusst und können andererseits auch gesellschaftlichen Wandel anstoßen. Eine wichtige Entscheidung der Politik ist zum Beispiel, wie viel Geld der Staat für verschiedene Bereiche zur Verfügung stellt.

Für welche Bereiche sollte der Staat Ihrer Meinung nach in Zukunft mehr Geld ausgeben?",,,Bitte geben Sie alles Zutreffende an.,,Bitte geben Sie alles Zutreffende an.,,,,,txt
gip,Recruitment-18-I,Page 6,1,Gesundheitsleistungen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,2,Grundsicherung für Arbeitslose,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,3,"Arbeitsförderung von Menschen, die arbeitslos sind",,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,4,Altersrenten,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,5,Bildung (Schulen und Universitäten),,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,6,Kinderbetreuungsmöglichkeiten,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,7,Innere Sicherheit,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,8,Umweltschutz,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,9,Technische Modernisierung,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,10,Integration,,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,11,"Sonstige, und zwar (bitte eintragen): [answer field]",,,,,,,,,,bin
gip,Recruitment-18-I,Page 6,12,Für keinen dieser Bereiche.,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,0,Für welche Bereiche sollte der Staat Ihrer Meinung nach in Zukunft weniger Geld ausgeben?,,,Bitte geben Sie alles Zutreffende an.,,Bitte geben Sie alles Zutreffende an.,,"RQD3005_a bis RQD3005_j = 1 (item checked), dann jeweiliges Item RQD3006_a bis RQD3006_j nicht anzeigen",,,txt
gip,Recruitment-18-I,Page 7,1,[wenn RQD3005_a != 1: Gesundheitsleistungen,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,2,[wenn RQD3005_b != 1: Grundsicherung für Arbeitslose,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,3,"[wenn RQD3005_c != 1: Arbeitsförderung von Menschen, die arbeitslos sind",,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,4,[wenn RQD3005_d != 1: Altersrenten,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,5,[wenn RQD3005_e != 1: Bildung (Schulen und Universitäten),,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,6,[wenn RQD3005_f != 1: Kinderbetreuungsmöglichkeiten,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,7,[wenn RQD3005_g != 1: Innere Sicherheit,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,8,[wenn RQD3005_h != 1: Umweltschutz,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,9,[wenn RQD3005_i != 1: Technische Modernisierung,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,10,[wenn RQD3005_j != 1: Integration,,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,11,"Sonstige, und zwar (bitte eintragen): [answer field]",,,,,,,,,,bin
gip,Recruitment-18-I,Page 7,12,Für keinen dieser Bereiche.,,,,,,,,,,bin
